CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Card_Category,Marital_Status,status
798007308,57,F,3,High School,Unknown,51,6,1,0,8362000.0,0,8362000.0,1175000,41,0.0,Blue,Married,Existing Customer
713508333,43,F,4,College,< Rp 3.000.000,33,5,4,3,1884000.0,1216000,668000.0,4591000,85,0.645,Blue,Unknown,Existing Customer
718984533,37,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,29,6,2,4,7199000.0,1274000,5925000.0,4552000,100,0.177,Blue,Single,Existing Customer
718757808,56,F,1,Uneducated,Rp 3.000.000 - Rp 5.000.000,46,4,3,3,2929000.0,1287000,1642000.0,3875000,67,0.439,Blue,Unknown,Existing Customer
768612258,52,F,3,Unknown,< Rp 3.000.000,46,3,3,3,2700000.0,1623000,1077000.0,4171000,78,0.601,Blue,Single,Existing Customer
714811533,39,M,2,High School,Rp 5.000.000 - Rp 8.000.000,32,3,2,2,1715000.0,0,1715000.0,5910000,91,0.0,Blue,Unknown,Existing Customer
708324483,47,F,4,Unknown,< Rp 3.000.000,39,3,3,4,1548000.0,0,1548000.0,4420000,71,0.0,Blue,Single,Existing Customer
711765708,39,F,1,Graduate,< Rp 3.000.000,36,3,4,1,6690000.0,1912000,4778000.0,3875000,60,0.286,Blue,Unknown,Existing Customer
721004133,38,F,2,Graduate,< Rp 3.000.000,25,6,2,2,1438300.0,538000,900300.0,4093000,73,0.374,Blue,Single,Existing Customer
719848008,39,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,36,4,2,2,29808000.0,0,29808000.0,16098000,128,0.0,Silver,Unknown,Existing Customer
807426033,37,M,2,Unknown,Rp 5.000.000 - Rp 8.000.000,32,4,1,1,2865000.0,1176000,1689000.0,3462000,61,0.41,Blue,Single,Existing Customer
779435883,37,M,3,High School,Rp 8.000.000 - Rp 15.000.000,19,1,2,2,2273000.0,0,2273000.0,7899000,79,0.0,Blue,Unknown,Existing Customer
717292758,55,F,2,Graduate,< Rp 3.000.000,47,5,3,2,6347000.0,0,6347000.0,1161000,44,0.0,Blue,Single,Existing Customer
778430733,45,M,5,High School,Rp 5.000.000 - Rp 8.000.000,25,1,5,1,12399000.0,1461000,10938000.0,7855000,82,0.118,Blue,Unknown,Existing Customer
823922208,49,M,3,Unknown,Rp 5.000.000 - Rp 8.000.000,45,1,1,1,2122000.0,1101000,1021000.0,7404000,103,0.519,Blue,Single,Existing Customer
714131058,30,M,0,Graduate,Rp 5.000.000 - Rp 8.000.000,36,3,5,3,18513000.0,2517000,15996000.0,1567000,33,0.136,Blue,Unknown,Existing Customer
708870408,53,M,4,Unknown,< Rp 3.000.000,43,6,3,1,3844000.0,2079000,1765000.0,4271000,56,0.541,Blue,Single,Existing Customer
715832058,40,F,5,Graduate,< Rp 3.000.000,36,2,2,3,4512000.0,1172000,3340000.0,14414000,98,0.26,Blue,Unknown,Existing Customer
717322833,55,M,2,Unknown,Rp 8.000.000 - Rp 15.000.000,36,5,2,2,10604000.0,1988000,8616000.0,1578000,30,0.187,Blue,Single,Existing Customer
715728108,27,F,0,Graduate,< Rp 3.000.000,36,1,1,2,4548000.0,1450000,3098000.0,14330000,131,0.319,Blue,Unknown,Existing Customer
720190908,59,M,1,High School,Rp 5.000.000 - Rp 8.000.000,51,6,2,4,8973000.0,1300000,7673000.0,4699000,72,0.145,Blue,Single,Existing Customer
713146683,35,F,1,High School,Unknown,36,2,3,2,4460000.0,0,4460000.0,5473000,79,0.0,Blue,Unknown,Existing Customer
710363433,26,M,0,High School,< Rp 3.000.000,36,6,3,3,2735000.0,1348000,1387000.0,2441000,58,0.493,Blue,Single,Existing Customer
788802483,47,F,3,Uneducated,< Rp 3.000.000,29,2,2,3,2814000.0,1595000,1219000.0,4766000,87,0.567,Blue,Unknown,Existing Customer
714028083,36,F,1,Unknown,Unknown,31,6,1,2,2222000.0,0,2222000.0,4095000,65,0.0,Blue,Single,Existing Customer
719112258,42,M,4,College,Rp 5.000.000 - Rp 8.000.000,35,3,3,3,2516000.0,1360000,1156000.0,4692000,79,0.541,Blue,Unknown,Existing Customer
807226683,48,M,3,Unknown,Rp 3.000.000 - Rp 5.000.000,43,6,1,3,5279000.0,1115000,4164000.0,1642000,41,0.211,Blue,Single,Existing Customer
710115108,45,F,2,Graduate,Rp 3.000.000 - Rp 5.000.000,37,5,2,3,5562000.0,1556000,4006000.0,4568000,76,0.28,Blue,Unknown,Existing Customer
718837683,55,M,2,High School,> Rp 15.000.000,49,6,3,4,3029000.0,1505000,1524000.0,2394000,50,0.497,Blue,Single,Existing Customer
710675508,40,F,3,College,Unknown,28,2,3,1,2321000.0,1190000,1131000.0,5149000,98,0.513,Blue,Unknown,Existing Customer
716671983,38,M,0,High School,Rp 8.000.000 - Rp 15.000.000,29,3,3,2,5983000.0,1885000,4098000.0,4141000,65,0.315,Blue,Single,Existing Customer
714032883,45,M,2,College,Rp 3.000.000 - Rp 5.000.000,36,1,1,1,4718000.0,1591000,3127000.0,4598000,80,0.337,Blue,Unknown,Existing Customer
711285633,33,F,0,Unknown,Unknown,36,6,1,3,2735000.0,1769000,966000.0,3306000,71,0.647,Blue,Single,Existing Customer
720831783,50,F,0,High School,< Rp 3.000.000,36,3,2,1,2242000.0,888000,1354000.0,4708000,81,0.396,Blue,Unknown,Existing Customer
714963558,46,M,3,Graduate,Rp 3.000.000 - Rp 5.000.000,36,4,2,3,1438300.0,0,1438300.0,4374000,71,0.0,Blue,Single,Existing Customer
709311633,41,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,36,6,2,0,27000000.0,0,27000000.0,1209000,39,0.0,Silver,Unknown,Existing Customer
771602883,42,M,3,High School,Rp 8.000.000 - Rp 15.000.000,30,4,5,4,4147000.0,1719000,2428000.0,1776000,44,0.415,Blue,Single,Existing Customer
711459483,43,F,3,High School,< Rp 3.000.000,36,6,2,3,2242000.0,0,2242000.0,4845000,66,0.0,Blue,Unknown,Existing Customer
715934283,39,F,2,High School,Rp 3.000.000 - Rp 5.000.000,26,6,3,2,3142000.0,1639000,1503000.0,3046000,56,0.522,Blue,Single,Existing Customer
767753958,37,M,3,Graduate,Rp 3.000.000 - Rp 5.000.000,31,6,1,2,8504000.0,1956000,6548000.0,1881000,51,0.23,Blue,Unknown,Existing Customer
708207783,50,F,3,High School,< Rp 3.000.000,42,1,3,2,1477000.0,0,1477000.0,4680000,80,0.0,Blue,Single,Existing Customer
769662033,45,F,2,College,< Rp 3.000.000,29,2,2,3,1438300.0,0,1438300.0,5025000,85,0.0,Blue,Unknown,Existing Customer
721332033,42,M,2,Unknown,Rp 8.000.000 - Rp 15.000.000,30,4,2,1,29195000.0,892000,28303000.0,4411000,67,0.031,Blue,Single,Existing Customer
771431133,47,F,4,Graduate,< Rp 3.000.000,35,4,2,4,1438300.0,0,1438300.0,3778000,69,0.0,Blue,Unknown,Existing Customer
712572858,38,M,3,High School,Rp 8.000.000 - Rp 15.000.000,29,2,1,3,3413000.0,1801000,1612000.0,3831000,45,0.528,Blue,Single,Existing Customer
720235608,60,F,0,Graduate,< Rp 3.000.000,36,4,3,1,3828000.0,0,3828000.0,4470000,58,0.0,Blue,Unknown,Existing Customer
789121233,53,F,2,Unknown,< Rp 3.000.000,41,5,1,3,2329000.0,2290000,39000.0,4609000,76,0.983,Blue,Single,Existing Customer
712891833,45,F,2,Graduate,< Rp 3.000.000,36,3,1,1,2723000.0,1902000,821000.0,3875000,84,0.698,Blue,Unknown,Existing Customer
710374008,53,M,1,Graduate,Rp 8.000.000 - Rp 15.000.000,47,1,1,2,34516000.0,1583000,32933000.0,12906000,100,0.046,Blue,Single,Existing Customer
788386908,48,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,41,3,2,2,34516000.0,1531000,32985000.0,1156000,29,0.044,Platinum,Unknown,Existing Customer
767243208,42,F,3,Graduate,< Rp 3.000.000,35,3,2,2,2555000.0,1587000,968000.0,4193000,79,0.621,Blue,Single,Existing Customer
713247408,51,F,3,Uneducated,< Rp 3.000.000,36,3,1,2,1750000.0,813000,937000.0,4333000,68,0.465,Blue,Unknown,Existing Customer
710832108,52,F,2,Unknown,Rp 3.000.000 - Rp 5.000.000,44,2,3,3,9017000.0,2359000,6658000.0,4552000,81,0.262,Blue,Single,Existing Customer
716211258,59,F,1,College,< Rp 3.000.000,49,6,5,4,4072000.0,0,4072000.0,1966000,43,0.0,Blue,Unknown,Existing Customer
721511883,40,F,3,Graduate,< Rp 3.000.000,28,6,2,2,1709000.0,0,1709000.0,4981000,79,0.0,Blue,Single,Existing Customer
771222558,45,F,3,Graduate,< Rp 3.000.000,32,6,1,3,2900000.0,2018000,882000.0,4467000,79,0.696,Blue,Unknown,Existing Customer
709265208,47,F,4,Graduate,< Rp 3.000.000,37,4,3,2,1438300.0,780000,658300.0,4422000,59,0.542,Blue,Single,Existing Customer
806970033,48,M,3,High School,Rp 3.000.000 - Rp 5.000.000,43,2,2,3,1753000.0,1434000,319000.0,4588000,77,0.818,Blue,Unknown,Existing Customer
714426783,38,F,2,Graduate,Unknown,31,2,3,2,14041000.0,2154000,11887000.0,1467000,29,0.153,Blue,Single,Existing Customer
721011858,63,M,1,Graduate,< Rp 3.000.000,52,6,3,3,1438300.0,0,1438300.0,3913000,78,0.0,Blue,Unknown,Existing Customer
779895108,39,M,3,Unknown,Rp 8.000.000 - Rp 15.000.000,23,6,1,4,2718000.0,2156000,562000.0,1711000,36,0.793,Blue,Single,Existing Customer
788199858,42,F,3,High School,Unknown,34,1,3,1,2798000.0,1049000,1749000.0,5758000,87,0.375,Blue,Unknown,Existing Customer
815472108,42,M,3,High School,Rp 3.000.000 - Rp 5.000.000,37,3,3,3,2247000.0,1045000,1202000.0,1300000,31,0.465,Blue,Single,Existing Customer
708707808,57,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,45,4,1,2,2480000.0,1584000,896000.0,3438000,66,0.639,Blue,Unknown,Existing Customer
787450758,57,M,1,Unknown,Rp 5.000.000 - Rp 8.000.000,43,3,3,1,19090000.0,0,19090000.0,4712000,88,0.0,Blue,Single,Existing Customer
717942033,52,M,2,Uneducated,> Rp 15.000.000,42,1,1,3,33552000.0,1252000,32300000.0,14490000,98,0.037,Blue,Unknown,Existing Customer
721349883,51,F,4,Graduate,< Rp 3.000.000,39,3,2,1,2847000.0,2082000,765000.0,3672000,59,0.731,Blue,Single,Existing Customer
814989933,45,F,4,College,< Rp 3.000.000,40,1,2,1,1795000.0,1058000,737000.0,5575000,73,0.589,Blue,Unknown,Existing Customer
710175783,45,F,3,High School,Unknown,25,4,2,1,1986000.0,1042000,944000.0,4303000,59,0.525,Blue,Single,Existing Customer
709054083,50,F,1,Graduate,< Rp 3.000.000,32,6,1,3,2652000.0,1911000,741000.0,4816000,79,0.721,Blue,Unknown,Existing Customer
708813033,47,M,1,Graduate,Rp 3.000.000 - Rp 5.000.000,36,5,3,0,6509000.0,2033000,4476000.0,1409000,37,0.312,Blue,Single,Existing Customer
716219808,49,M,3,Graduate,Rp 5.000.000 - Rp 8.000.000,36,5,2,3,15942000.0,0,15942000.0,1742000,41,0.0,Blue,Unknown,Existing Customer
758965158,44,M,5,High School,Rp 8.000.000 - Rp 15.000.000,37,4,2,3,15638000.0,1729000,13909000.0,4396000,83,0.111,Blue,Single,Existing Customer
708694983,55,F,1,Uneducated,< Rp 3.000.000,36,1,2,1,3150000.0,2222000,928000.0,14750000,96,0.705,Blue,Unknown,Existing Customer
779351208,49,M,2,Unknown,Rp 5.000.000 - Rp 8.000.000,34,4,1,4,5176000.0,0,5176000.0,1902000,56,0.0,Blue,Single,Existing Customer
778933983,55,F,0,Uneducated,Unknown,39,4,3,3,11249000.0,2012000,9237000.0,3882000,55,0.179,Blue,Unknown,Existing Customer
771688983,53,F,2,High School,< Rp 3.000.000,41,4,1,2,2252000.0,1811000,441000.0,4201000,68,0.804,Blue,Single,Existing Customer
771237933,47,M,1,Uneducated,Rp 8.000.000 - Rp 15.000.000,34,4,1,3,20620000.0,1085000,19535000.0,1477000,23,0.053,Blue,Unknown,Existing Customer
720917808,35,M,2,High School,Rp 3.000.000 - Rp 5.000.000,36,5,3,4,2100000.0,950000,1150000.0,2623000,74,0.452,Blue,Single,Existing Customer
817616433,55,F,2,College,Unknown,41,6,2,2,7613000.0,0,7613000.0,4268000,69,0.0,Blue,Unknown,Existing Customer
712216533,44,M,5,Unknown,Rp 8.000.000 - Rp 15.000.000,34,6,2,3,8206000.0,763000,7443000.0,1715000,43,0.093,Blue,Single,Existing Customer
714296358,52,F,2,College,< Rp 3.000.000,44,4,1,3,3433000.0,2486000,947000.0,4831000,78,0.724,Blue,Unknown,Existing Customer
717384183,58,F,3,Graduate,< Rp 3.000.000,53,1,3,1,2669000.0,2048000,621000.0,4863000,79,0.767,Blue,Single,Existing Customer
