,CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Card_Category,Marital_Status,status,is_attrited
0,798007308,57,F,3,High School,Unknown,51,6,1,0,8362000.0,0,8362000.0,1175000,41,0.0,Blue,Married,Existing Customer,0
1,713508333,43,F,4,College,< Rp 3.000.000,33,5,4,3,1884000.0,1216000,668000.0,4591000,85,0.645,Blue,Unknown,Existing Customer,0
2,718984533,37,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,29,6,2,4,7199000.0,1274000,5925000.0,4552000,100,0.177,Blue,Single,Existing Customer,0
3,718757808,56,F,1,Uneducated,Rp 3.000.000 - Rp 5.000.000,46,4,3,3,2929000.0,1287000,1642000.0,3875000,67,0.439,Blue,Unknown,Existing Customer,0
4,768612258,52,F,3,Unknown,< Rp 3.000.000,46,3,3,3,2700000.0,1623000,1077000.0,4171000,78,0.601,Blue,Single,Existing Customer,0
5,714811533,39,M,2,High School,Rp 5.000.000 - Rp 8.000.000,32,3,2,2,1715000.0,0,1715000.0,5910000,91,0.0,Blue,Unknown,Existing Customer,0
6,708324483,47,F,4,Unknown,< Rp 3.000.000,39,3,3,4,1548000.0,0,1548000.0,4420000,71,0.0,Blue,Single,Existing Customer,0
7,711765708,39,F,1,Graduate,< Rp 3.000.000,36,3,4,1,6690000.0,1912000,4778000.0,3875000,60,0.286,Blue,Unknown,Existing Customer,0
8,721004133,38,F,2,Graduate,< Rp 3.000.000,25,6,2,2,1438300.0,538000,900300.0,4093000,73,0.374,Blue,Single,Existing Customer,0
9,719848008,39,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,36,4,2,2,29808000.0,0,29808000.0,16098000,128,0.0,Silver,Unknown,Existing Customer,0
10,807426033,37,M,2,Unknown,Rp 5.000.000 - Rp 8.000.000,32,4,1,1,2865000.0,1176000,1689000.0,3462000,61,0.41,Blue,Single,Existing Customer,0
11,779435883,37,M,3,High School,Rp 8.000.000 - Rp 15.000.000,19,1,2,2,2273000.0,0,2273000.0,7899000,79,0.0,Blue,Unknown,Existing Customer,0
12,717292758,55,F,2,Graduate,< Rp 3.000.000,47,5,3,2,6347000.0,0,6347000.0,1161000,44,0.0,Blue,Single,Existing Customer,0
13,778430733,45,M,5,High School,Rp 5.000.000 - Rp 8.000.000,25,1,5,1,12399000.0,1461000,10938000.0,7855000,82,0.118,Blue,Unknown,Existing Customer,0
14,823922208,49,M,3,Unknown,Rp 5.000.000 - Rp 8.000.000,45,1,1,1,2122000.0,1101000,1021000.0,7404000,103,0.519,Blue,Single,Existing Customer,0
15,714131058,30,M,0,Graduate,Rp 5.000.000 - Rp 8.000.000,36,3,5,3,18513000.0,2517000,15996000.0,1567000,33,0.136,Blue,Unknown,Existing Customer,0
